	GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	Unnamed: 46
1	URN:CornellLabOfOrnithology:EBIRD:OBS696080760	2019-01-11 10:45:47.0	409	species	Garganey	Spatula querquedula			10000				India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					Pothuvoor Temple Road, Mannar, Kerala, IN (9.31, 76.524)	L8395623	P	9.3101097	76.5239604	2019-01-08	15:33:00	obsr447431	S51482921	Traveling	P22	EBIRD_IND	121.0	6.05		2	1		0	0	0			Block method counting	
2	URN:CornellLabOfOrnithology:EBIRD:OBS700477964	2019-02-05 11:43:28.0	6914	species	Great Cormorant	Phalacrocorax carbo			1	N 	C3		India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					State Highway 40, Thanneermukkom, Kerala, IN (9.677, 76.393)	L8460811	P	9.6765883	76.393065	2019-01-20	06:13:00	obsr447431	S51851836	Traveling	P22	EBIRD	244.0	0.998		3	1	G3778629	0	0	0			Seen	
3	URN:CornellLabOfOrnithology:EBIRD:OBS696080738	2019-01-11 10:45:47.0	502	species	Northern Pintail	Anas acuta			10000				India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					Pothuvoor Temple Road, Mannar, Kerala, IN (9.31, 76.524)	L8395623	P	9.3101097	76.5239604	2019-01-08	15:33:00	obsr447431	S51482921	Traveling	P22	EBIRD_IND	121.0	6.05		2	1		0	0	0			Counted by block method	
4	URN:CornellLabOfOrnithology:EBIRD:OBS702552997	2019-01-25 10:56:08.0	6397	species	Whiskered Tern	Chlidonias hybrida			10000				India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					Unnamed Road, Kodamthuruth, Kerala, IN (9.797, 76.296)	L8460377	P	9.7967084	76.2955805	2019-01-20	07:30:00	obsr823368	S52020843	Traveling	P22	EBIRD_IND	30.0	0.23		2	1	G3794405	0	0	0			uncountable numbers of terns	
5	URN:CornellLabOfOrnithology:EBIRD:OBS700429052	2019-01-25 10:56:08.0	6397	species	Whiskered Tern	Chlidonias hybrida			10000				India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					Unnamed Road, Kodamthuruth, Kerala, IN (9.797, 76.296)	L8460377	P	9.7967084	76.2955805	2019-01-20	07:30:00	obsr823367	S51848509	Traveling	P22	EBIRD_IND	30.0	0.23		2	1	G3794405	0	0	0			uncountable numbers of terns	
6	URN:CornellLabOfOrnithology:EBIRD:OBS701369819	2019-02-10 10:11:57.0	26508	species	Asian Brown Flycatcher	Muscicapa dauurica			5				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.132373699999999	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420.0	9.656		4	0		0	0	0			Present - multiple locations	
7	URN:CornellLabOfOrnithology:EBIRD:OBS704594666	2019-02-05 13:29:24.0	26508	species	Asian Brown Flycatcher	Muscicapa dauurica			4				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-30	06:45:00	obsr229232	S52194734	Traveling	P22	EBIRD	255.0	16.093		2	1		0	0	0		with Sudheesh Sujathan of www.KalypsoAdventures.com		
8	URN:CornellLabOfOrnithology:EBIRD:OBS695915526	2019-02-07 09:19:16.0	26477	species	Asian Fairy-bluebird	Irena puella			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-04	06:30:00	obsr680862	S51469504	Traveling	P22	EBIRD_IND	660.0	10.0		5	1	G3835576	0	0	0				
9	URN:CornellLabOfOrnithology:EBIRD:OBS707625381	2019-02-07 09:19:16.0	26477	species	Asian Fairy-bluebird	Irena puella			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-04	06:30:00	obsr636334	S52460211	Traveling	P22	EBIRD_IND	660.0	10.0		5	1	G3835576	0	0	0				
11	URN:CornellLabOfOrnithology:EBIRD:OBS701041204	2019-01-22 06:23:22.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr527144	S51894817	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			seen two different locations	
12	URN:CornellLabOfOrnithology:EBIRD:OBS701374168	2019-02-03 01:29:24.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr809396	S51894818	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			seen two different locations	
13	URN:CornellLabOfOrnithology:EBIRD:OBS701368145	2019-01-22 06:23:22.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr509242	S51923583	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			seen two different locations	
14	URN:CornellLabOfOrnithology:EBIRD:OBS702570824	2019-01-27 02:55:08.0	3153	species	Asian Koel	Eudynamys scolopaceus			6				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.132373699999999	76.687333	2019-01-17	07:30:00	obsr348755	S52022299	Traveling	P22	EBIRD_CAN	180.0	3.0		2	1		0	0	0		with VJ Zacharias		
15	URN:CornellLabOfOrnithology:EBIRD:OBS701369817	2019-02-10 10:11:57.0	19822	species	Indian Paradise-Flycatcher	Terpsiphone paradisi			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.132373699999999	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420.0	9.656		4	0		0	0	0			Present in large number	
16	URN:CornellLabOfOrnithology:EBIRD:OBS700958208	2019-01-21 06:02:57.0	3234	species	Banded Bay Cuckoo	Cacomantis sonneratii			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-21	09:55:00	obsr668639	S51890023	Stationary	P21	EBIRD_CL	60.0			2	1		1	0	0		Observers: Mohan CP and Polly Kalamassery	Picture taken	
