	GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	Unnamed: 46
1	URN:CornellLabOfOrnithology:EBIRD:OBS696080760	2019-01-11 10:45:47.0	409	species	Garganey	Spatula querquedula			10000				India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					Pothuvoor Temple Road, Mannar, Kerala, IN (9.31, 76.524)	L8395623	P	9.3101097	76.5239604	2019-01-08	15:33:00	obsr447431	S51482921	Traveling	P22	EBIRD_IND	121.0	6.05		2	1		0	0	0			Block method counting	
2	URN:CornellLabOfOrnithology:EBIRD:OBS700477964	2019-02-05 11:43:28.0	6914	species	Great Cormorant	Phalacrocorax carbo			1	N 	C3		India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					State Highway 40, Thanneermukkom, Kerala, IN (9.677, 76.393)	L8460811	P	9.6765883	76.393065	2019-01-20	06:13:00	obsr447431	S51851836	Traveling	P22	EBIRD	244.0	0.998		3	1	G3778629	0	0	0			Seen	
4	URN:CornellLabOfOrnithology:EBIRD:OBS702552997	2019-01-25 10:56:08.0	6397	species	Whiskered Tern	Chlidonias hybrida			10000				India	IN	Kerala	IN-KL	Alappuzha	IN-KL-AL					Unnamed Road, Kodamthuruth, Kerala, IN (9.797, 76.296)	L8460377	P	9.7967084	76.2955805	2019-01-20	07:30:00	obsr823368	S52020843	Traveling	P22	EBIRD_IND	30.0	0.23		2	1	G3794405	0	0	0			uncountable numbers of terns	
8	URN:CornellLabOfOrnithology:EBIRD:OBS695915526	2019-02-07 09:19:16.0	26477	species	Asian Fairy-bluebird	Irena puella			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-04	06:30:00	obsr680862	S51469504	Traveling	P22	EBIRD_IND	660.0	10.0		5	1	G3835576	0	0	0				
11	URN:CornellLabOfOrnithology:EBIRD:OBS701041204	2019-01-22 06:23:22.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr527144	S51894817	Traveling	P22	EBIRD	145.0	2.6		4	1	G3783244	1	0	0			seen two different locations	
18	URN:CornellLabOfOrnithology:EBIRD:OBS693584897	2019-01-13 01:42:08.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekad--Soma Birds Lagoon	L3648178	H	10.097673599999998	76.7158967	2019-01-04	15:41:00	obsr188371	S51297507	Traveling	P22	EBIRD	381.0	8.0		3	1	G3721034	1	0	0			Photos	
20	URN:CornellLabOfOrnithology:EBIRD:OBS704570718	2019-01-29 22:43:50.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Neriamangalam(Sub Cell- 58,21,7)	L4881775	H	10.058424	76.7576873	2019-01-18	09:00:00	obsr1202646	S52193099	Traveling	P22	EBIRD	180.0	2.0		10	1	G3812405	1	0	0			single member of the species was seen..identified by typical physical appearance	
22	URN:CornellLabOfOrnithology:EBIRD:OBS696471595	2019-01-10 01:07:13.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kerala, IN (10.103, 76.701)	L8400571	P	10.102936099999999	76.7011983	2019-01-06	15:30:00	obsr973438	S51515173	Traveling	P22	EBIRD_IND	220.0	6.0		5	1	G3744548	0	0	0			Seen in the Jungle	
39	URN:CornellLabOfOrnithology:EBIRD:OBS698976433	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858000000001	76.252261	2019-01-13	07:25:00	obsr668448	S51653198	Traveling	P22	EBIRD_IND	216.0	4.55		15	1	G3755479	1	0	0				
43	URN:CornellLabOfOrnithology:EBIRD:OBS703920271	2019-01-28 10:13:57.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakudy Road, Ernakulam, Kerala, IN (10.064, 76.255)	L8270785	P	10.0640668	76.25523050000001	2019-01-27	07:10:00	obsr823368	S52131385	Traveling	P22	EBIRD_IND	45.0	2.0		4	1	G3807028	0	0	0			Identified with the help of filed book	
45	URN:CornellLabOfOrnithology:EBIRD:OBS700630321	2019-01-21 00:23:46.0	7823	species	Brahminy Kite	Haliastur indus			61				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Puthuvype Beach - Valappu Road, Vypin, Kerala, IN (10.007, 76.218)	L6422299	P	10.0067417	76.21817	2019-01-20	10:18:00	obsr556980	S51863711	Traveling	P22	EBIRD	120.0	4.21		2	1	G3782438	0	0	0		AWC count at 4 points along a 4km stretch at Puthuvype on Vypeen Island, Cochin. --Salt water marshes and seafront. 40-50% coverage. --Human activity, LNG terminal,  garbage and traffic are disturbance and threat for the birds. 	Soaring in large groups	
60	URN:CornellLabOfOrnithology:EBIRD:OBS704545821	2019-02-02 08:33:40.0	6391	species	Caspian Tern	Hydroprogne caspia			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kochi--Kandakkadavu Wetland	L2639131	H	9.861369999999999	76.27773	2019-01-29	16:05:00	obsr809396	S52191217	Traveling	P22	EBIRD	50.0	0.966		2	1	G3812120	0	0	0			Single bird with gulls	
62	URN:CornellLabOfOrnithology:EBIRD:OBS697264510	2019-01-12 22:04:58.0	6391	species	Caspian Tern	Hydroprogne caspia			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kochi--Kandakkadavu Wetland	L2639131	H	9.861369999999999	76.27773	2019-01-12	16:42:00	obsr527144	S51585812	Traveling	P22	EBIRD	92.0	0.95		2	1	G3751138	1	0	0			Photographed	
68	URN:CornellLabOfOrnithology:EBIRD:OBS694494370	2019-01-06 10:48:38.0	3089	species	Chestnut-winged Cuckoo	Clamator coromandus			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					(10.0976,76.7169)	L8365724	P	10.097632	76.71691700000001	2019-01-06	06:45:00	obsr1159040	S51370516	Incidental	P20	EBIRD				2	0	G3728695	0	0	0		Casual birding around grounds of Hornbill Camp plus along narrow access road walking ca. 1 mike NW of camp along Periyar R.	Seen well in binoculars then in spotting scope. Perched on tree limb in overgrown teak plantation, adjacent to large pond. Very like Pied Cuckoo but with large chestnut panels in wings.	
